parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
budget,4.2,4,42004,8,4,4.2,0.011106729507446289,0,0,0.0,260.0,success,0.023996829986572266,0,0,0.0,260.0,success,True,,
budget,4.4,0,44000,8,4,4.4,0.01799917221069336,0,0,0.0,527.0,success,0.03313565254211426,0,0,0.0,527.0,success,True,,
budget,4.4,1,44001,8,4,4.4,0.012998819351196289,0,0,0.0,340.0,success,0.029000043869018555,0,0,0.0,340.0,success,True,,
budget,4.4,2,44002,8,4,4.4,0.01799774169921875,0,0,0.0,544.0,success,0.04050946235656738,0,0,0.0,544.0,success,True,,
budget,4.4,3,44003,8,4,4.4,0.013001203536987305,0,0,0.0,306.0,success,0.027999401092529297,0,0,0.0,306.0,success,True,,
budget,4.4,4,44004,8,4,4.4,0.0205078125,0,0,0.0,703.0,success,0.05300092697143555,0,0,0.0,703.0,success,True,,
budget,4.6,0,46000,8,4,4.6,0.021877288818359375,0,0,0.0,300.0,success,0.031000614166259766,0,0,0.0,300.0,success,True,,
budget,4.6,1,46001,8,4,4.6,0.019460201263427734,0,0,0.0,646.0,success,0.03550982475280762,0,0,0.0,646.0,success,True,,
budget,4.6,2,46002,8,4,4.6,6.05153489112854,21681,18422,0.8496840551635072,256.0,success,0.4890933036804199,422,204,0.4834123222748815,256.0,success,True,98.0535953138693,12.372966151020325
budget,4.6,3,46003,8,4,4.6,117.24216055870056,70612,60803,0.8610859344020846,201.0,success,82.82446002960205,6148,2438,0.39655172413793105,201.0,success,True,91.2932646009177,1.4155499536827332
budget,4.6,4,46004,8,4,4.6,0.017000913619995117,0,0,0.0,299.0,success,0.030508041381835938,0,0,0.0,299.0,success,True,,
