parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,runtime,nodes_explored,pruned_bound,pruning_rate,best_makespan,status
budget,5.0,3,50003,8,4,5.0,6.036503553390503,61115,57590,0.9423218522457661,352.0,success
budget,5.0,4,50004,8,4,5.0,3.6265881061553955,58848,56856,0.9661500815660685,352.0,success
budget,5.2,0,52000,8,4,5.2,0.0409998893737793,517,510,0.9864603481624759,740.0,success
budget,5.2,1,52001,8,4,5.2,0.06700611114501953,488,377,0.7725409836065574,450.0,success
budget,5.2,2,52002,8,4,5.2,0.06751012802124023,293,230,0.7849829351535836,731.0,success
budget,5.2,3,52003,8,4,5.2,0.07441353797912598,1259,1244,0.9880857823669579,500.0,success
budget,5.2,4,52004,8,4,5.2,1.1480605602264404,12735,11791,0.925873576756969,338.0,success
budget,5.4,0,54000,8,4,5.4,2.0517821311950684,29827,28974,0.9714017500921983,420.0,success
budget,5.4,1,54001,8,4,5.4,0.5167942047119141,3352,3272,0.9761336515513126,558.0,success
budget,5.4,2,54002,8,4,5.4,72.80273008346558,8629,5437,0.630084598447097,429.0,success
budget,5.4,3,54003,8,4,5.4,0.16150879859924316,2213,2162,0.9769543605964753,676.0,success
budget,5.4,4,54004,8,4,5.4,0.04666423797607422,514,419,0.8151750972762646,425.0,success
budget,5.6,0,56000,8,4,5.6,0.22798991203308105,1523,1396,0.9166119500984898,435.0,success
budget,5.6,1,56001,8,4,5.6,0.38622283935546875,5046,4102,0.8129211256440745,385.0,success
budget,5.6,2,56002,8,4,5.6,1.0201389789581299,19112,18675,0.9771347844286312,418.0,success
budget,5.6,3,56003,8,4,5.6,4.832669019699097,852,458,0.5375586854460094,828.0,success
budget,5.6,4,56004,8,4,5.6,2.0414867401123047,36714,35927,0.9785640355177861,216.0,success
budget,5.8,0,58000,8,4,5.8,38.573975801467896,5757,5469,0.9499739447628973,880.0,success
budget,5.8,1,58001,8,4,5.8,0.04355478286743164,466,386,0.8283261802575107,608.0,success
budget,5.8,2,58002,8,4,5.8,12.196898460388184,2867,1354,0.47227066620160446,798.0,success
budget,5.8,3,58003,8,4,5.8,0.04828810691833496,688,658,0.9563953488372093,460.0,success
budget,5.8,4,58004,8,4,5.8,62.78747844696045,43009,41162,0.9570555000116254,399.0,success
budget,6.0,0,60000,8,4,6.0,1.316504955291748,23489,23190,0.9872706373195964,360.0,success
budget,6.0,1,60001,8,4,6.0,74.39126300811768,1730,1461,0.8445086705202313,665.0,success
budget,6.0,2,60002,8,4,6.0,0.03700089454650879,249,237,0.9518072289156626,1040.0,success
budget,6.0,3,60003,8,4,6.0,0.102508544921875,1220,1204,0.9868852459016394,720.0,success
budget,6.0,4,60004,8,4,6.0,64.62781953811646,170016,161286,0.9486518915866742,268.0,success
budget,6.2,0,62000,8,4,6.2,504.44509744644165,35960,26333,0.732285873192436,440.0,success
budget,6.2,1,62001,8,4,6.2,5.432782411575317,8200,6445,0.7859756097560976,240.0,success
budget,6.2,2,62002,8,4,6.2,0.11664772033691406,2025,1970,0.9728395061728395,442.0,success
budget,6.2,3,62003,8,4,6.2,0.40904808044433594,1458,1298,0.8902606310013718,630.0,success
budget,6.2,4,62004,8,4,6.2,0.03708362579345703,204,195,0.9558823529411765,722.0,success
